,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals,PageNo
0,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,Free delivery,1
1,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),Free delivery,1
2,NCERT Biology Textbook For Class - 11 And Class - 12 ( ...,"Paperback, NCERT",₹425,₹232,45% off,4.1,"(10,178)",Free delivery,1
3,The Answer Writing Manual For UPSC Civil Services Exam ...,"Paperback, Srushti Deshmukh IAS",₹450,₹273,39% off,4.7,"(3,276)","Buy 3 items, save extra 5%",1
4,SSC Reasoning 7200 TCS MCQ Chapter Wise Hindi Medium 3r...,"Paperback, Hindi, Pinnacle Publications",₹760,₹384,49% off,4.6,(14),Free delivery,1
5,"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pe...","Spiral, China",₹599,₹153,74% off,4.2,(111),Free delivery,1
6,Basics Of Stock Market | Complete Guide For Stock Begin...,"Paperback, Hindi, Arvind Arora",₹299,₹223,25% off,4,(438),"Buy 3 items, save extra 5%",1
7,Vacation Activity Books For Kids 3 Year To 7 Year Old |...,"Paperback, Content Team at Target Publications",₹690,₹555,19% off,4.4,(15),Free delivery,1
8,Khargadham Magic Practice Copybook For Kids - Handwriti...,"Spiral, Khargadham",₹399,₹149,62% off,4.2,(451),Free delivery,1
9,Vastunist Samany Vigyan 15000+ By Khan Sir,"Paperback, Hindi, KHAN SIR",₹275,₹160,41% off,4.4,"(1,677)","Buy 3 items, save extra 5%",1
10,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ...,"Paperback, Disha Experts","₹1,990","₹1,153",42% off,4.4,(18),Free delivery,1
11,"Little Mee Nursery Books For Kids Learning | English, M...","Paperback, Content Team at Chetana Publications","₹1,450","₹1,199",17% off,4.5,(48),Free delivery,1
12,"Magic Practice Book , Copy Book, Writing Book , Play Bo...","Spiral, Others, Generic",₹799,₹156,80% off,4.2,(58),Free delivery,1
13,"Ankit Bhati Mathematics ( Delhi Police, AWO/TPO,HCM, U....","Paperback, Others, ANKIT BHATI SIR, RAHUL TIBATIYA SIR",₹449,₹319,28% off,4.7,(6),Free delivery,1
14,My First Picture Library Box Of 10 Board Books (Pre-Sch...,"Board book, Sawan",₹999,₹309,69% off,4.5,"(13,298)",Free delivery,1
15,Railway General Science + GK 11000+Question (Previous Q...,"Paperback, Hindi, Khan Sir",₹225,₹110,51% off,4.4,"(6,174)","Buy 3 items, save extra 5%",1
16,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers...,"Paperback, Disha Experts","₹1,710",₹977,42% off,4.8,(10),Free delivery,1
17,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt...,"Paperback, Disha Experts",₹260,₹140,46% off,4,(29),Free delivery,1
18,Manogyam Magic Practice Copybook For Kids - Handwriting...,"Paperback, Manogyam",₹499,₹148,70% off,4.2,(406),Free delivery,1
19,Errorless Physics For NEET Revised New Edition 2023 (2 ...,"Paperback, UBD NEET EXPEART TEAM","₹1,880","₹1,215",35% off,4.6,(68),Free delivery,1
20,IBPS Bank Clerk Guide for Preliminary & Main Exams with...,"Paperback, Disha Experts",₹775,₹422,45% off,4.4,(59),Free delivery,1
21,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved...,"Paperback, Disha Experts",₹340,₹172,49% off,4.4,(98),Free delivery,1
22,"34 Years NEET-AIPMT Chapterwise Solutions -Physics, Che...","Paperback, MTG Editorial Board","₹1,100",₹541,50% off,4.6,"(3,006)",Free delivery,1
23,50+ Bank PO & Clerk 3.0 | 2017-2022 Previous Years' Mem...,"Paperback, Adda247 Publications",₹999,₹432,56% off,4.3,(286),Free delivery,1
24,"Atulneeya Samanya Hindi For SSC GD, IBPS RRB, CTET, DSS...","Paperback, Hindi, Adda247 Publications",₹399,₹239,40% off,,,Free delivery,1
25,Ankit Bhati Mathematics Bilingual (Hindi-English),"Paperback, Hindi, Ankit Bhati, Rahul Tewatiya",₹449,₹312,30% off,4.4,(104),Free delivery,1
26,SBI Clerk 10 Year-wise Prelim & Mains Solved Papers (20...,"Paperback, Disha Experts",₹290,₹164,43% off,4.4,(176),Free delivery,1
27,Foundation Course in Physics for JEE/ NEET/ Olympiad Cl...,"Paperback, Disha Experts",₹540,₹232,57% off,4.6,(97),Free delivery,1
28,SBI PO Prelims & Mains Solved Papers [Year-Wise] With 6...,"Paperback, LearnX",₹795,₹256,67% off,4.5,(344),Free delivery,1
29,ACE QUANT A Complete Guide On Quantitative Aptitude For...,"Paperback, Adda247 Publications",₹999,₹285,71% off,4.4,"(2,005)",Free delivery,1
30,Essential English for Competitive Examinations - 2nd Ed...,"English, Paperback, unknown",₹625,₹295,52% off,4.3,"(3,020)",Free delivery,1
31,GO TO Objective NEET Chemistry Guide with DPP & CPP She...,"Paperback, Disha Experts",₹900,₹507,43% off,4.3,(23),Free delivery,1
32,Blossom Jumbo Creative Colouring Book For Kids | 3 To 5...,"Paperback, Content Team at Target Publications",₹180,₹122,32% off,4.4,"(1,296)",Free delivery,1
33,Ace English A Compelete Guide On English Language For B...,"Paperback, Adda247 Publications",₹999,₹285,71% off,4.4,"(1,955)",Free delivery,1
34,Ace Reasoning Ability For Banking And Insurance Book 20...,"Paperback, Adda247 Publications",₹999,₹285,71% off,4.3,"(1,391)",Free delivery,1
35,SBI PO Guide For Prelims & Mains Exam With 6 Online Pra...,"Paperback, LearnX",₹795,₹396,50% off,4.6,(135),Free delivery,1
36,FCI AG III Technical Phase I + Phase II (Paper I) 2022 ...,"Paperback, Adda247 Publications","₹1,896","₹1,599",15% off,,,Free delivery,1
37,FCI Junior Engineer Electrical 2022 Phase I & II Comple...,"Paperback, Adda247 Publications","₹3,098","₹1,699",45% off,,,Free delivery,1
38,Indian Polity ( English| 6th Revised Edition) | UPSC | ...,"English, Paperback, Laxmikanth M.",₹995,₹479,51% off,4.5,"(7,776)","Buy 3 items, save extra 5%",1
39,A Place Called Home (Printed Signed Copies),"Paperback, Preeti Shenoy",₹250,₹104,58% off,4.6,(104),Lowest price since launch,1
40,The Power of Your Subconscious Mind  - Unlock Your Mast...,"Paperback, Dr. Murphy Joseph",₹299,₹159,46% off,,,Free delivery,2
41,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis...,"English, Paperback, Experts Disha",₹350,₹188,46% off,4.4,(656),Free delivery,2
42,Bedtime Story Books For Kids In English | Tiny Tales - ...,"Paperback, Soumita Sengupta, Zenaida Pereira, Mayoorika Banerjee, Saachi Bindra, Monalisa Mallick, Nidhi Tholia",₹680,₹451,33% off,4.5,(71),Free delivery,2
43,Quantitative Aptitude for Competitive Examinations  - R...,"English, Paperback, Aggarwal R. S",₹799,₹336,57% off,4.4,(436),"Buy 3 items, save extra 5%",2
44,"Naveen Ankganit, Based On New Syllabus & Pattern For Co...","Paperback, Hindi, Dr. R S Aggarwal",₹550,₹298,45% off,4.5,(513),Free delivery,2
45,Attitude Is Everything,"English, Paperback, Keller Jeff",₹225,₹104,53% off,4.5,"(54,379)","Buy 3 items, save extra 5%",2
