,BookName,Publisher,MRP,DiscountPrice,DiscountPercent,Rating,PersonsReviewed,Deals
0,The Power of Your Subconscious Mind  - Unlock Your Mast..., Dr. Murphy Joseph,299.0,159.0,46,0.0,0,Free delivery
1,34 Years NTA NEET (UG) CHEMISTRY Chapterwise & Topicwis..., Experts Disha,350.0,188.0,46,4.4,656,Free delivery
2,NCERT Biology Textbook For Class - 11 And Class - 12 ( ..., NCERT,425.0,232.0,45,4.1,10178,Free delivery
3,The Answer Writing Manual For UPSC Civil Services Exam ..., Srushti Deshmukh IAS,450.0,273.0,39,4.7,3276,"Buy 3 items, save extra 5%"
4,SSC Reasoning 7200 TCS MCQ Chapter Wise Hindi Medium 3r..., Pinnacle Publications,760.0,384.0,49,4.6,14,Free delivery
5,"Sank Magic Practice Copybook, (4 BOOK + 10 REFILL+ 1 Pe...", China,599.0,153.0,74,4.2,111,Free delivery
6,Basics Of Stock Market | Complete Guide For Stock Begin..., Arvind Arora,299.0,223.0,25,4.0,438,"Buy 3 items, save extra 5%"
7,Vacation Activity Books For Kids 3 Year To 7 Year Old |..., Content Team at Target Publications,690.0,555.0,19,4.4,15,Free delivery
8,Khargadham Magic Practice Copybook For Kids - Handwriti..., Khargadham,399.0,149.0,62,4.2,451,Free delivery
9,Vastunist Samany Vigyan 15000+ By Khan Sir, KHAN SIR,275.0,160.0,41,4.4,1677,"Buy 3 items, save extra 5%"
10,97 JEE Main Online & Offline (2021 - 2002) Chapterwise ..., Disha Experts,1990.0,1153.0,42,4.4,18,Free delivery
11,"Little Mee Nursery Books For Kids Learning | English, M...", Content Team at Chetana Publications,1450.0,1199.0,17,4.5,48,Free delivery
12,"Magic Practice Book , Copy Book, Writing Book , Play Bo...", Generic,799.0,156.0,80,4.2,58,Free delivery
13,"Ankit Bhati Mathematics ( Delhi Police, AWO/TPO,HCM, U....", RAHUL TIBATIYA SIR,449.0,319.0,28,4.7,6,Free delivery
14,My First Picture Library Box Of 10 Board Books (Pre-Sch..., Sawan,999.0,309.0,69,4.5,13298,Free delivery
15,Railway General Science + GK 11000+Question (Previous Q..., Khan Sir,225.0,110.0,51,4.4,6174,"Buy 3 items, save extra 5%"
16,28 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers..., Disha Experts,1710.0,977.0,42,4.8,10,Free delivery
17,Biology Class 12 CBSE Board 13 Years Skill-wise & Chapt..., Disha Experts,260.0,140.0,46,4.0,29,Free delivery
18,Manogyam Magic Practice Copybook For Kids - Handwriting..., Manogyam,499.0,148.0,70,4.2,406,Free delivery
19,Errorless Physics For NEET Revised New Edition 2023 (2 ..., UBD NEET EXPEART TEAM,1880.0,1215.0,35,4.6,68,Free delivery
20,IBPS Bank Clerk Guide for Preliminary & Main Exams with..., Disha Experts,775.0,422.0,45,4.4,59,Free delivery
21,34 Varsh NTA NEET (UG) Chapter-wise & Topic-wise Solved..., Disha Experts,340.0,172.0,49,4.4,98,Free delivery
22,"34 Years NEET-AIPMT Chapterwise Solutions -Physics, Che...", MTG Editorial Board,1100.0,541.0,50,4.6,3006,Free delivery
23,50+ Bank PO & Clerk 3.0 | 2017-2022 Previous Years' Mem..., Adda247 Publications,999.0,432.0,56,4.3,286,Free delivery
24,"Atulneeya Samanya Hindi For SSC GD, IBPS RRB, CTET, DSS...", Adda247 Publications,399.0,239.0,40,0.0,0,Free delivery
